objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
No._193,beregovski193.png,,,No. 193,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._194,beregovski194.png,,,No. 194,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._195,beregovski195.png,,,No. 195,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._196,beregovski196.png,,,No. 196,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._197,beregovski197.png,,,No. 197,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._198,beregovski198.png,,,No. 198,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._199,beregovski199.png,,,No. 199,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._200,beregovski200.png,,,No. 200,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._201,beregovski201.png,,,No. 201,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._202,beregovski202.png,,,No. 202,Beregovski (trans.); Malin (encoded),,Sher,Minor,,,,2015,,dance,image/png,,,
No._203,beregovski203.png,,,No. 203,Beregovski (trans.); Malin (encoded),,Sher,Major (Mixolydian),,,,2015,,dance,image/png,,,
No._204,beregovski204.png,,,No. 204,Beregovski (trans.); Malin (encoded),,Sher,Major,,,,2015,,dance,image/png,,,
No._205,beregovski205.png,,,No. 205,Beregovski (trans.); Malin (encoded),,Sher,Major,,,,2015,,dance,image/png,,,
No._206,beregovski206.png,,,No. 206,Beregovski (trans.); Malin (encoded),,Plyeskun,Minor,,,,2015,,dance,image/png,,,
No._207,beregovski207.png,,,No. 207,Beregovski (trans.); Malin (encoded),,Plyeskun,Altered Dorian,,,,2015,,dance,image/png,,,
No._208,beregovski208.png,,,No. 208,Beregovski (trans.); Malin (encoded),,Plyeskun,Freygish,,,,2015,,dance,image/png,,,
No._209,beregovski209.png,,,No. 209,Beregovski (trans.); Malin (encoded),,Plyeskun,Major,,,,2015,,dance,image/png,,,
